Command: ps -u crashprophet

Result:
  UID   PID TTY           TIME CMD
  501   526 ??         0:00.12 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/Current/AppleMobileDeviceHelper.app/Contents/MacOS/AppleMobileDeviceHelper --pipe 10 54
  501   529 ??         0:01.70 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeagent
  501   531 ??         0:00.10 com.apple.geod
  501   550 ??         0:00.04 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  501   590 ??         1:54.85 /Applications/Safari.app/Contents/MacOS/Safari
  501   592 ??         1:43.91 com.apple.WebKit.Networking
  501   601 ??         0:32.24 com.apple.WebKit.WebContent
  501   602 ??         0:00.02 com.apple.audio.SandboxHelper
  501   603 ??         0:00.06 com.apple.audio.ComponentHelper
  501   606 ??         4:39.98 com.apple.WebKit.WebContent
  501   617 ??         0:00.02 com.apple.audio.SandboxHelper
  501   618 ??         0:00.06 com.apple.audio.ComponentHelper
  501   663 ??         0:00.18 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
  501   762 ??         0:00.18 /System/Library/PrivateFrameworks/CloudServices.framework/Resources/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
  501   773 ??         0:00.10 /usr/libexec/SafariNotificationAgent
  501   826 ??         0:00.02 /usr/libexec/USBAgent
  501   832 ??         0:00.02 /System/Library/CoreServices/AirPort Base Station Agent.app/Contents/MacOS/AirPort Base Station Agent --launchd
  501  1326 ??         0:00.04 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
  501  1651 ??         0:02.43 /Applications/TextEdit.app/Contents/MacOS/TextEdit
  501  1661 ??         0:00.06 /System/Library/CoreServices/ScopedBookmarkAgent
  501  1787 ??         0:24.73 /Applications/Pages.app/Contents/MacOS/Pages
  501  1791 ??         0:00.01 com.apple.ColorSyncXPCAgent
  501  1795 ??         0:08.87 com.apple.MediaLibraryService
  501  1799 ??         0:00.28 com.apple.appkit.xpc.openAndSavePanelService
  501  1844 ??         0:39.79 /Applications/Sublime Text 2.app/Contents/MacOS/Sublime Text 2
  501  1860 ??         0:00.10 /System/Library/CoreServices/rcd.app/Contents/MacOS/rcd
  501  1861 ??         0:37.51 /System/Library/PrivateFrameworks/WebKit2.framework/PluginProcess.app/Contents/MacOS/PluginProcess /System/Library/PrivateFrameworks/WebKit2.framework/WebKit2 -type pluginprocess -servicename com.apple.WebKit.WebProcess-590-0x1168fd680 -localization en_US -client-identifier com.apple.Safari -ui-process-name Safari -plugin-path /Library/Internet Plug-Ins/Flash Player.plugin
  501  1868 ??         0:00.33 com.apple.WebKit.WebContent
  501  1933 ??         0:06.87 com.apple.WebKit.WebContent
  501  1940 ??         0:00.28 com.apple.iCloudHelper
    0   307 ttys000    0:00.05 login -pf crashprophet /bin/bash
  501   309 ttys000    0:00.08 -bash
    0  1609 ttys001    0:00.04 login -pf crashprophet /bin/bash
  501  1610 ttys001    0:00.13 -bash
    0  1969 ttys001    0:00.00 ps -u crashprophet
